id,username,first_name,last_name,gender,birthdate,email,ip_address,age,country,postal_code,favorite_color
1,lbell0,Leigh,Bell,Male,2/22/1971,lbell0@weather.com,57.164.252.82,85,Greece,,blue
2,battyeo1,Booth,Attyeo,Male,3/15/1997,battyeo1@usgs.gov,141.254.55.102,77,Malaysia,15500,green
3,jmeeus2,Johnathan,Meeus,Male,7/2/1985,jmeeus2@thetimes.co.uk,118.156.162.197,79,Sweden,851 00,green
4,espofforth3,Elayne,Spofforth,Female,10/11/1992,espofforth3@ezinearticles.com,187.31.223.149,82,Japan,969-3288,blue
5,gcastillo4,Geoffrey,Castillo,Male,3/6/1998,gcastillo4@rambler.ru,181.122.250.48,24,Indonesia,,red
6,scaws5,Sarina,Caws,Female,4/30/2001,scaws5@reference.com,77.31.40.76,60,Poland,34-371,red
7,cturford6,Coop,Turford,Male,2/2/1999,cturford6@163.com,8.78.111.214,36,Portugal,4960-010,red
8,hgood7,Harriette,Good,Female,3/13/1991,hgood7@forbes.com,129.215.161.216,31,United States,73173,red
9,acasacchia8,Almeda,Casacchia,Female,2/8/2001,acasacchia8@arstechnica.com,101.146.140.150,46,Vietnam,,red
10,rginie9,Ronni,Ginie,Female,7/24/1971,rginie9@loc.gov,65.183.32.0,75,France,93187 CEDEX,blue
11,mblewetta,Mariam,Blewett,Female,5/21/1994,mblewetta@foxnews.com,33.250.6.178,59,Indonesia,,green
12,rchaffinb,Roldan,Chaffin,Male,7/25/1997,rchaffinb@newyorker.com,183.227.4.178,66,Paraguay,,blue
13,hwinearc,Heddie,Winear,Female,8/3/1976,hwinearc@zimbio.com,208.145.235.172,53,Brazil,25880-000,red
14,cmaymand,Christoph,Mayman,Male,9/7/1974,cmaymand@google.it,131.58.197.73,49,Russia,368212,red
15,cgrammere,Chico,Grammer,Male,3/26/2001,cgrammere@creativecommons.org,226.235.92.220,71,Tokelau,,red
16,nanthamf,Nada,Antham,Female,10/29/1983,nanthamf@guardian.co.uk,141.145.144.170,24,China,,blue
